Gene ID	Gene Name	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'female'.log2foldchange	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.p-value	'adipose tissue specific Trim28 knockout' vs 'wild type genotype' in 'male'.log2foldchange
ENSMUSG00000000318	Clec10a	0.997683156048348	0	0.940525940946467	0
ENSMUSG00000000320	Alox12	0.999532109316737	0	0.0301758112658052	1
ENSMUSG00000000325	Arvcf	0.293545431047442	-0.5	0.596883893523228	0.1
ENSMUSG00000000326	Comt	0.943093319008399	-0.2	2.53006010515736e-05	-0.8
ENSMUSG00000000339	Rtca	0.911378774250757	-0.2	0.961754759564723	0
ENSMUSG00000000340	Dbt	0.528622642736595	0.5	0.273838316807456	0.1
ENSMUSG00000000346	Dazap2	0.989473296544104	0	0.456505463059326	0.1
ENSMUSG00000000355	Mcts1	0.939520496337735	0.2	0.229019959845651	0.3
ENSMUSG00000000359	Rem1	0.957487922932929	-0.1	0.97339729956547	0
ENSMUSG00000000365	Rnf17	0.93822924645513	0.2	0.00736915637214592	0.9
ENSMUSG00000000374	Trappc10	0.989473296544104	0	0.331833599741766	-0.1
ENSMUSG00000000378	Ccm2	0.958056624631606	-0.1	0.0269472712979886	-0.3
ENSMUSG00000000381	Wap	NA	0	NA	0
ENSMUSG00000000384	Tbrg4	0.989473296544104	0	0.741118339032435	-0.1
ENSMUSG00000000385	Tmprss2	NA	-0.2	0.0301269788772333	0.9
ENSMUSG00000000386	Mx1	0.994143526018358	0	0.269211172271456	0.3
ENSMUSG00000000392	Fap	0.962558895573265	0.2	0.852452898397607	-0.1
ENSMUSG00000000394	Gcg	NA	0	NA	0
ENSMUSG00000000399	Ndufa9	0.989473296544104	0	0.453484732220463	-0.1
ENSMUSG00000000402	Egfl6	0.0934247024979823	-0.8	0.0698407483257649	0.8
ENSMUSG00000000409	Lck	0.209548530393692	0.7	0.401777238574633	0.4
ENSMUSG00000000411	Tssk3	NA	0	NA	0.4
ENSMUSG00000000416	Cttnbp2	0.905169708487139	-0.3	0.0982221233036391	0.5
ENSMUSG00000000420	Galnt1	0.92060883548718	-0.1	0.618262722956721	-0.1
ENSMUSG00000000435	Myf5	NA	0.2	NA	0
ENSMUSG00000000439	Mkrn2	0.989473296544104	0	0.412243380078957	-0.1
ENSMUSG00000000440	Pparg	0.978033528963831	-0.1	0.0295510068579383	-0.4
ENSMUSG00000000441	Raf1	0.989685137447122	0	0.318564449265962	-0.1
ENSMUSG00000000486	Sept1	0.911378774250757	0.2	0.84470963166414	0.1
ENSMUSG00000000489	Pdgfb	0.897066953986583	0.3	0.392980993776658	0.1
ENSMUSG00000000530	Acvrl1	0.760956498382656	-0.3	0.009773595529939	-0.3
ENSMUSG00000000531	Grasp	0.844004969572032	-0.3	0.380834925609966	0.1
ENSMUSG00000000532	Acvr1b	0.794910992548367	-0.4	0.00161106169479056	-0.3
ENSMUSG00000000538	Tom1l2	0.930391458980354	-0.1	0.107013573149729	-0.1
ENSMUSG00000000544	Gpa33	NA	-0.1	NA	0.4
ENSMUSG00000000552	Zfp385a	0.95788993551625	-0.1	0.0601286129468047	-0.3
ENSMUSG00000000555	Itga5	0.911378774250757	-0.3	0.136245605171157	-0.3
ENSMUSG00000000560	Gabra2	NA	0.5	NA	0.1
ENSMUSG00000000561	Wdr77	0.911378774250757	0.2	0.00681974847397217	0.3
ENSMUSG00000000562	Adora3	0.931293988006445	-0.3	0.794916962827141	0.2
ENSMUSG00000000563	Atp5pb	0.992090861301275	0	0.931369820998499	0
ENSMUSG00000000567	Sox9	0.0211246826840821	1	0.0127538154385754	1.1
ENSMUSG00000000568	Hnrnpd	0.989473296544104	0	0.128333838131576	0.2
ENSMUSG00000000579	Dynlt1c	0.985119064813798	0.1	0.50599190503243	-0.3
ENSMUSG00000000581	C1d	0.912774993292092	-0.1	0.753292526006219	0
ENSMUSG00000000594	Gm2a	0.979571071752633	0.1	0.866530591507422	0
ENSMUSG00000000600	Krit1	0.989473296544104	0	0.947356800124277	0
ENSMUSG00000000605	Clcn4	0.989473296544104	0	0.645129923741593	-0.1
ENSMUSG00000000606	Vmn2r88	NA	0	NA	0
ENSMUSG00000000617	Grm6	NA	-0.1	NA	-0.1
ENSMUSG00000000627	Sema4f	0.886577977557272	-0.3	0.304195214520872	0.5
ENSMUSG00000000628	Hk2	0.965367082526809	-0.2	0.655876657532038	-0.1
ENSMUSG00000000631	Myo18a	0.908314467041385	-0.2	0.242459075553699	0.1
ENSMUSG00000000632	Sez6	0.299859346790513	0.8	0.946717872949548	0
ENSMUSG00000000673	Haao	0.985119064813798	0.1	0.105210687659449	0.7
ENSMUSG00000000682	Cd52	0.93660277796095	0.2	0.444551234861697	0.2
ENSMUSG00000000686	Abhd15	0.988077505026325	0.1	0.140183038486329	-0.2
ENSMUSG00000000690	Hoxb6	0.864997821445973	-0.3	0.157329962184389	0.5
ENSMUSG00000000693	Loxl3	0.911378774250757	-0.2	0.0256129300468541	-0.3
ENSMUSG00000000701	Tcl1b5	NA	0	NA	0
ENSMUSG00000000706	Btn1a1	NA	0	NA	0
ENSMUSG00000000708	Kat2b	0.998033002906015	0	0.906150408952277	0
ENSMUSG00000000711	Rab5b	0.997602284153199	0	0.425456293544011	-0.1
ENSMUSG00000000724	Cryba1	NA	0.4	NA	0
ENSMUSG00000000730	Dnmt3l	NA	-0.3	0.476103332038244	0.4
ENSMUSG00000000731	Aire	NA	-0.1	0.0859906280462526	0.7
ENSMUSG00000000732	Icosl	0.808559172748091	-0.4	0.00350847179512602	0.5
ENSMUSG00000000738	Spg7	0.978033528963831	0	0.692700684345433	-0.1
ENSMUSG00000000739	Sult5a1	0.989473296544104	-0.1	0.873970820748571	-0.1
ENSMUSG00000000740	Rpl13	0.884164597079623	-0.3	0.369453866064493	-0.2
ENSMUSG00000000743	Chmp1a	0.882355784840892	-0.1	0.14240889129671	-0.2
ENSMUSG00000000751	Rpa1	0.974175603276665	-0.1	0.979464923666742	0
ENSMUSG00000000753	Serpinf1	0.494463643473576	-0.7	1.09999851603587e-06	-0.7
ENSMUSG00000000759	Tubgcp3	0.978033528963831	0.1	0.256848580810996	0.2
ENSMUSG00000000766	Oprm1	NA	0	NA	0
ENSMUSG00000000776	Polr3d	0.962558895573265	-0.1	0.912925345202755	0
ENSMUSG00000000782	Tcf7	0.982286243280519	0.1	0.103831142558031	0.8
ENSMUSG00000000787	Ddx3x	0.858008541644595	0.2	0.0789187464945045	0.4
ENSMUSG00000000791	Il12rb1	0.926400600263646	0.2	0.474517341693413	0.3
ENSMUSG00000000792	Slc5a5	0.915064751966585	-0.3	0.696557167444419	0.2
ENSMUSG00000000794	Kcnn3	0.989473296544104	0.1	0.137302711971247	0.5
ENSMUSG00000000804	Usp32	0.989473296544104	0	0.217414855449678	0.2
ENSMUSG00000000805	Car4	0.911378774250757	0.3	0.214527100062163	0.3
ENSMUSG00000000811	Txnrd3	0.950711174832349	0.1	0.0768706690097323	-0.3
ENSMUSG00000000817	Fasl	0.839636284944228	0.5	0.091660880640238	0.8
ENSMUSG00000000823	Zfp512b	0.946430773781371	-0.1	0.677459085038166	-0.1
ENSMUSG00000000826	Dnajc5	0.859072778429727	0.1	0.419593337841385	0.1
ENSMUSG00000000827	Tpd52l2	0.937388452380006	-0.1	0.231876162269007	-0.1
ENSMUSG00000000838	Fmr1	0.710292853025402	-0.5	0.486389975498655	-0.3
ENSMUSG00000000861	Bcl11a	0.989473296544104	0	0.834770709231262	-0.1
ENSMUSG00000000869	Il4	0.859826783051995	0.3	0.32303040419467	0.4
ENSMUSG00000000876	Pxmp4	0.964893050621764	0.1	0.261553627107936	-0.1
ENSMUSG00000000881	Dlg3	0.529493674703305	-0.6	0.257142883691889	-0.2
ENSMUSG00000000884	Gnb1l	0.99844918612525	0	0.430858970895602	-0.2
ENSMUSG00000000889	Dbh	NA	0.1	NA	0.2
ENSMUSG00000000901	Mmp11	0.97287564613965	0.2	0.985459041258065	0
ENSMUSG00000000902	Smarcb1	0.989473296544104	0	0.066063183418574	-0.2
ENSMUSG00000000903	Vpreb3	0.98095238524896	0.1	0.172087136344346	0.7
ENSMUSG00000000915	Hip1r	NA	-0.4	0.365574419411292	0.2
ENSMUSG00000000916	Nsun5	0.998662440638203	0	0.594038227174495	-0.1
ENSMUSG00000000934	Top1mt	0.984387288264002	-0.1	0.867375824870619	0
ENSMUSG00000000938	Hoxa10	0.897066953986583	-0.3	0.960096907024737	0
ENSMUSG00000000942	Hoxa4	0.92644001852908	0.2	0.785068621920414	0.1
ENSMUSG00000000948	Gm38393	0.989473296544104	-0.1	0.423914768142152	0.4
ENSMUSG00000000957	Mmp14	0.964893050621764	-0.1	0.702576725600682	-0.1
ENSMUSG00000000958	Slc7a7	0.995187671336938	0	0.993051461386378	0
ENSMUSG00000000959	Oxa1l	0.992643480595484	0	0.732743972450375	-0.1
ENSMUSG00000000976	Heatr6	0.805380571924744	0.2	0.927355549230381	0
ENSMUSG00000000982	Ccl3	0.843029095463037	0.5	0.235052185075729	0.6
ENSMUSG00000000983	Wfdc18	0.922610660400577	0.3	0.583639566667791	0.3
ENSMUSG00000001014	Icam4	NA	0	NA	0
ENSMUSG00000001016	Ilf2	0.959375184562497	-0.1	0.304049670806822	-0.1
ENSMUSG00000001017	Chtop	0.964893050621764	0.1	0.524528002303674	0.1
ENSMUSG00000001018	Snapin	0.98200693011369	0	0.315061032871651	-0.1
ENSMUSG00000001020	S100a4	0.989473296544104	-0.1	0.379214130046601	-0.3
ENSMUSG00000001021	S100a3	0.882406590726005	-0.4	NA	0.1
ENSMUSG00000001023	S100a5	NA	-0.2	NA	0
ENSMUSG00000001025	S100a6	NA	-0.5	0.195523322390139	-0.4
ENSMUSG00000001027	Scn4a	0.893071251002097	0.4	0.196895021024542	0.6
ENSMUSG00000001029	Icam2	0.932338298644289	0.2	0.308067884021265	0.2
ENSMUSG00000001034	Mapk7	0.992090861301275	0	0.550769564292569	-0.1
ENSMUSG00000001036	Epn2	0.0637836884707139	0.5	6.1433546217158e-06	0.4
ENSMUSG00000001039	B9d1	0.989473296544104	0	0.477830790997571	0.3
ENSMUSG00000001052	Sec24b	0.128362263446595	0.3	0.39630169893579	0.1
ENSMUSG00000001053	N4bp3	0.958536775971632	0.2	0.473414632328372	0.1
ENSMUSG00000001054	Rmnd5b	0.944397893946403	-0.1	0.493857536920126	-0.1
ENSMUSG00000001056	Nhp2	0.952317992153847	-0.1	0.317539451312247	-0.2
ENSMUSG00000001062	Vps9d1	0.98095238524896	0	0.13288189188044	-0.2
ENSMUSG00000001065	Zfp276	0.944397893946403	-0.1	0.169054542729257	-0.2
ENSMUSG00000001076	C1ql4	NA	0	0.338410291554602	0.3
ENSMUSG00000001082	Mfsd10	0.714655214099731	-0.3	0.148320904303329	-0.2
ENSMUSG00000001089	Luzp1	0.931293988006445	-0.2	0.975433198738399	0
ENSMUSG00000001095	Slc13a2	0.912774993292092	-0.4	0.1348783730513	0.7
ENSMUSG00000001098	Kctd10	0.6015451060886	-0.3	0.204606623501686	-0.2
ENSMUSG00000001100	Poldip2	0.947668944261202	-0.1	0.00816307151093606	-0.3
ENSMUSG00000001103	Sebox	NA	0	NA	0
ENSMUSG00000001105	Ift20	0.964893050621764	-0.1	0.153779340170216	-0.2
ENSMUSG00000001119	Col6a1	0.946653805303633	0.2	0.857093854796432	-0.1
ENSMUSG00000001120	Pcbp3	NA	-0.3	0.24227698276477	-0.2
ENSMUSG00000001123	Lgals9	0.989473296544104	0	0.225494541322336	0.1
ENSMUSG00000001127	Araf	0.754578829256507	-0.1	0.661632412730085	0
ENSMUSG00000001128	Cfp	0.980047692248723	0.1	0.354612242192463	-0.2
ENSMUSG00000001131	Timp1	0.97611029260134	0.1	0.9914138196023	0
ENSMUSG00000001134	Uxt	0.988077505026325	0	0.811073144374857	-0.1
ENSMUSG00000001138	Cnnm3	0.494326120063971	-0.2	2.64679409227156e-07	-0.4
ENSMUSG00000001143	Lman2l	0.837164949632728	0.3	0.322305441391349	-0.2
ENSMUSG00000001150	Mcm3ap	0.903873815452437	-0.1	0.50617612864433	-0.1
ENSMUSG00000001151	Pcnt	0.940431385411227	-0.1	0.942626822626671	0
ENSMUSG00000001155	Ftcd	0.953246711876594	0.3	0.176700677383134	0.6
ENSMUSG00000001156	Mxd1	0.996155959016225	0	0.996171621853259	0
ENSMUSG00000001157	Gmcl1	0.747981104345481	0.2	0.000565943264731054	0.4
ENSMUSG00000001158	Snrnp27	0.987817534659015	0	0.42329156831146	-0.1
ENSMUSG00000001166	Oas1c	0.728821569987727	-0.4	0.651359538605401	0.1
ENSMUSG00000001168	Oas1h	NA	0.2	NA	0
ENSMUSG00000001173	Ocrl	0.989473296544104	0	0.0908710069895007	0.2
ENSMUSG00000001175	Calm1	0.951895032743192	-0.1	0.641614499556275	-0.1
ENSMUSG00000001211	Agpat3	0.989473296544104	0	0.0214595741786558	-0.3
ENSMUSG00000001225	Slc26a3	0.964893050621764	0.2	0.108445159932935	0.6
ENSMUSG00000001227	Sema6b	0.954775796778502	0.2	0.152877138415852	-0.2
ENSMUSG00000001228	Uhrf1	0.965800776008247	0.1	0.828656052984481	0.1
ENSMUSG00000001229	Dpp9	0.989473296544104	0	0.179178030398811	-0.1
ENSMUSG00000001240	Ramp2	0.988077505026325	-0.1	0.0351672338069544	-0.4
ENSMUSG00000001247	Lsr	0.391305373869579	-0.8	0.808994242269283	0.1
ENSMUSG00000001248	Gramd1a	0.981389262829797	0.1	0.113311818364055	-0.3
ENSMUSG00000001249	Hpn	0.992643480595484	0	0.0109559044392992	1.1
ENSMUSG00000001260	Gabrg1	NA	0	NA	0
ENSMUSG00000001270	Ckb	NA	-0.2	0.00753953529024524	0.8
ENSMUSG00000001280	Sp1	0.947668944261202	0.1	0.281138003027864	0.2
ENSMUSG00000001281	Itgb7	0.995187671336938	0	0.939058384288453	0
ENSMUSG00000001285	Myg1	0.989473296544104	0	0.919959717433591	0
ENSMUSG00000001288	Rarg	0.831040172975754	-0.3	0.0523623916551063	-0.3
ENSMUSG00000001289	Pfdn5	0.679776275211061	-0.3	0.587812089455043	-0.1
ENSMUSG00000001300	Efnb2	0.86689621727423	-0.4	0.691501464265573	0.1
ENSMUSG00000001305	Rrp15	0.952222351189088	-0.1	0.839799944191834	0
ENSMUSG00000001313	Rnd2	0.518028087945767	-0.5	4.29540100329793e-10	-0.7
ENSMUSG00000001323	Srr	0.922610660400577	0.1	0.828161730844969	0
ENSMUSG00000001333	Sync	0.982743392150715	-0.1	0.251525467702368	-0.4
ENSMUSG00000001334	Fndc5	0.988077505026325	-0.1	0.0131868008896309	1.1
ENSMUSG00000001348	Acp5	0.984387288264002	-0.1	0.0125036878553761	-0.5
ENSMUSG00000001349	Cnn1	NA	-0.3	0.607880470353775	0.3
ENSMUSG00000001366	Fbxo9	0.989473296544104	0	0.0466678219105749	-0.2
ENSMUSG00000001376	Vps50	0.98095238524896	0.1	0.0671502608194231	0.3
ENSMUSG00000001380	Hars	0.983456262462798	0	0.23285421442821	-0.1
ENSMUSG00000001383	Zmat2	0.584380837850019	-0.2	0.0112646401427193	-0.2
ENSMUSG00000001403	Ube2c	0.977611581387465	-0.1	0.921043602194558	0.1
ENSMUSG00000001415	Smg5	0.913485430996735	-0.2	0.0629039673992573	-0.2
ENSMUSG00000001416	Cct3	0.987419154751267	0	0.938500318254344	0
ENSMUSG00000001418	Glmp	0.535111481952201	-0.2	0.0593831567165703	-0.3
ENSMUSG00000001419	Mef2d	0.988077505026325	0	0.457187153922389	-0.1
ENSMUSG00000001420	Tmem79	0.993844543482029	0	0.051691139044353	0.6
ENSMUSG00000001424	Snd1	0.912223157600996	-0.1	0.327230813669264	-0.1
ENSMUSG00000001435	Col18a1	0.77096924787314	-0.4	0.0961438056690381	-0.3
ENSMUSG00000001436	Slc19a1	0.985119064813798	-0.1	0.976602149708158	0
ENSMUSG00000001440	Kpnb1	0.9924007127335	0	0.387954765864116	-0.1
ENSMUSG00000001441	Npepps	0.93145262089768	0.1	0.875363182260656	0
ENSMUSG00000001444	Tbx21	0.872643997469941	0.4	0.994189058328933	0
ENSMUSG00000001445	Mrpl10	0.988077505026325	0	0.237105140129158	-0.2
ENSMUSG00000001467	Cyp51	0.804791019804451	0.4	0.161384956326499	0.3
ENSMUSG00000001472	Tcf25	0.877361282178848	-0.1	0.00764488448930965	-0.2
ENSMUSG00000001473	Tubb6	0.979637246113311	-0.1	0.851330369413009	-0.1
ENSMUSG00000001482	Def8	0.944397893946403	-0.1	0.303643004170341	-0.1
ENSMUSG00000001493	Meox1	0.992090861301275	0	0.0166106759339211	0.5
ENSMUSG00000001494	Sost	NA	0.2	NA	-0.1
ENSMUSG00000001496	Nkx2-1	NA	0	NA	0
ENSMUSG00000001497	Pax9	NA	0	NA	0.4
ENSMUSG00000001504	Irx2	NA	-0.5	0.163769508638098	0.5
ENSMUSG00000001506	Col1a1	0.895902076248522	-0.3	0.790931021392951	0.1
ENSMUSG00000001507	Itga3	0.191847382798741	-0.8	0.232821373688657	0.3
ENSMUSG00000001508	Sgca	NA	-0.3	0.992349438177246	0
ENSMUSG00000001510	Dlx3	0.578693008064023	-0.8	0.327296996748003	0.5
ENSMUSG00000001517	Foxm1	0.979168526447267	-0.1	0.991851400815185	0
ENSMUSG00000001518	Itfg2	0.994644999929377	0	0.947773376506499	0
ENSMUSG00000001520	Nrip2	0.991445372888605	0	0.0129627507150935	0.7
ENSMUSG00000001521	Tulp3	0.938775822047896	-0.1	0.471107886303726	-0.1
ENSMUSG00000001524	Gtf2h4	0.912223157600996	-0.1	0.0989157461722633	-0.2
ENSMUSG00000001525	Tubb5	0.943093319008399	0.1	0.773537548287639	-0.1
ENSMUSG00000001542	Ell2	0.978033528963831	0.1	0.990293045409167	0
ENSMUSG00000001552	Jup	0.196811169479178	-0.6	3.47774789435015e-08	-0.6
ENSMUSG00000001555	Fkbp10	0.952149118333766	-0.2	0.0634372489278709	-0.3
ENSMUSG00000001558	Klhl10	0.912774993292092	-0.3	0.918649277975855	-0.1
ENSMUSG00000001566	Mnx1	NA	0	NA	0
ENSMUSG00000001569	Nom1	0.671373160673306	-0.1	0.275408242368343	0.1
ENSMUSG00000001576	Ergic1	0.989473296544104	0	0.869489972742837	0
ENSMUSG00000001583	Tnk1	NA	-0.5	0.636382370777598	0.2
ENSMUSG00000001588	Acap1	0.808559172748091	0.4	0.978250623001654	0
ENSMUSG00000001604	Tcea3	0.729187218798837	-0.6	0.430910531051789	0.3
ENSMUSG00000001622	Csn3	NA	-0.1	NA	0.1
ENSMUSG00000001627	Ifrd1	0.850976591331619	0.3	0.465527451630406	0.2
ENSMUSG00000001630	Stk38l	0.988077505026325	0	0.963410430531994	0
ENSMUSG00000001632	Brpf1	0.98095238524896	0	0.758491229425236	0
ENSMUSG00000001642	Akr1b3	NA	-0.4	0.177069073598151	-0.3
ENSMUSG00000001655	Hoxc13	NA	-0.3	NA	0
ENSMUSG00000001656	Hoxc11	0.971457510956853	-0.2	NA	0
ENSMUSG00000001657	Hoxc8	0.92711517020975	0.3	0.15197312965698	-0.2
ENSMUSG00000001661	Hoxc6	0.989473296544104	0	0.000825070774709044	-0.6
ENSMUSG00000001663	Gstt1	0.964893050621764	0.1	0.639208557920411	0.2
ENSMUSG00000001665	Gstt3	NA	-0.2	0.173066713521496	0.4
ENSMUSG00000001666	Ddt	0.663250918895193	0.5	0.773391423967129	0.1
ENSMUSG00000001670	Tat	0.744863092084663	-0.6	0.363118096230293	0.4
ENSMUSG00000001672	Marveld3	NA	-0.4	0.0596787136336094	0.9
ENSMUSG00000001674	Ddx18	0.97778417801449	-0.1	0.881079850253703	0
ENSMUSG00000001687	Ubl3	0.985426479620235	0	0.708069464150001	0
ENSMUSG00000001700	Gramd3	0.803302272935383	-0.2	0.390988471091276	-0.2
ENSMUSG00000001707	Eef1e1	0.992090861301275	0	0.901396172289507	0
ENSMUSG00000001729	Akt1	0.911378774250757	-0.2	0.233166709088498	-0.1
ENSMUSG00000001739	Cldn15	0.941063464967464	-0.2	0.383123951205574	-0.2
ENSMUSG00000001741	Il16	0.865916506341453	-0.3	0.00572916615905076	-0.5
ENSMUSG00000001750	Tcirg1	0.908785527134722	0.1	0.60681517521486	0.1
ENSMUSG00000001751	Naglu	0.944397893946403	-0.1	0.454237319848047	-0.2
ENSMUSG00000001755	Coasy	0.989473296544104	0.1	0.100091031378343	-0.2
ENSMUSG00000001761	Smo	0.00230604662759721	-0.5	1.20514684683626e-12	-0.6
ENSMUSG00000001763	Tspan33	0.408528421195584	-0.5	0.0203581530593975	1.1
ENSMUSG00000001767	Crnkl1	0.989473296544104	0	0.262846424879571	0.1
ENSMUSG00000001768	Rin2	0.98095238524896	0.1	0.138741694236541	0.2
ENSMUSG00000001773	Folh1	0.00595133571497115	-1.3	0.920336707457664	-0.1
ENSMUSG00000001774	Chordc1	0.912774993292092	0.1	0.107606000150337	0.3
ENSMUSG00000001783	Rtcb	0.926400600263646	-0.1	0.748105116287555	0
ENSMUSG00000001785	Pwp1	0.958700071373547	-0.1	0.588623022849707	0.1
ENSMUSG00000001786	Fbxo7	0.931293988006445	-0.1	0.886248112335142	0
ENSMUSG00000001794	Capns1	0.149554732953579	-0.2	0.00869347308799777	-0.3
ENSMUSG00000001802	Lrp3	0.883175584215295	-0.3	0.0460557014201398	-0.4
ENSMUSG00000001804	Dsg4	NA	0.1	NA	0
ENSMUSG00000001815	Evx2	0.964893050621764	-0.1	NA	0
ENSMUSG00000001819	Hoxd13	NA	-0.1	NA	0
ENSMUSG00000001823	Hoxd12	NA	-0.1	NA	0
ENSMUSG00000001827	Folr1	0.877361282178848	-0.4	0.0150147050223442	1.1
ENSMUSG00000001829	Clpb	0.978033528963831	0.1	0.477460481046175	-0.1
ENSMUSG00000001833	Sept7	0.940995878109623	0.1	0.242328427311195	0.3
ENSMUSG00000001844	Zdhhc4	0.996902735873204	0	0.167524931111952	-0.2
ENSMUSG00000001847	Rac1	0.989473296544104	0	0.898007105695944	0
ENSMUSG00000001855	Nup214	0.940573226389563	-0.1	0.406769612872607	-0.1
ENSMUSG00000001864	Aif1l	0.986210328106991	-0.1	0.683879600080049	-0.1
ENSMUSG00000001865	Cpa3	0.988077505026325	-0.1	0.538562538207942	-0.2
ENSMUSG00000001870	Ltbp1	0.877124888239448	-0.2	0.0857400837528041	-0.2
ENSMUSG00000001891	Ugp2	0.77678341908708	-0.4	0.0254859143908446	-0.4
ENSMUSG00000001901	Kcnh6	NA	0	0.0567854253640966	0.8
ENSMUSG00000001909	Trmt1	0.958536775971632	-0.1	0.800062058104905	0
ENSMUSG00000001910	Nacc1	0.922036272139204	-0.1	0.0103640662271055	-0.2
